Time,Open,High,Low,Close,Volume
2006-12-31 00:00:00,0.67368,0.67393,0.67334,0.67347,24906
2007-01-01 00:00:00,0.67342,0.67419,0.67233,0.67339,310397
2007-01-02 00:00:00,0.67337,0.6739,0.67216,0.67264,295721
2007-01-03 00:00:00,0.67262,0.67597,0.67248,0.67467,288881
2007-01-04 00:00:00,0.6746,0.67606,0.67269,0.67413,291398
2007-01-05 00:00:00,0.6742,0.67531,0.67326,0.67393,253171
2007-01-07 00:00:00,0.67368,0.67417,0.67323,0.67392,39572
2007-01-08 00:00:00,0.6739,0.67397,0.67098,0.67111,286329
2007-01-09 00:00:00,0.67109,0.67125,0.66925,0.66955,286423
2007-01-10 00:00:00,0.6695,0.67061,0.66883,0.66977,286371
2007-01-11 00:00:00,0.6698,0.67031,0.66217,0.66259,287391
2007-01-12 00:00:00,0.66267,0.6637,0.6591,0.65953,253832
2007-01-14 00:00:00,0.65925,0.66002,0.65893,0.6599,38595
2007-01-15 00:00:00,0.65989,0.66006,0.65763,0.65828,283871
2007-01-16 00:00:00,0.65829,0.66052,0.65813,0.65884,284603
2007-01-17 00:00:00,0.65879,0.65914,0.65607,0.65652,282518
2007-01-18 00:00:00,0.65651,0.65738,0.65548,0.65711,284290
2007-01-19 00:00:00,0.65705,0.65782,0.65522,0.6565,242531
2007-01-21 00:00:00,0.65627,0.65681,0.65598,0.65672,35763
2007-01-22 00:00:00,0.6567,0.65704,0.65347,0.65353,280514
2007-01-23 00:00:00,0.65354,0.65745,0.65351,0.65718,284581
2007-01-24 00:00:00,0.65717,0.66034,0.65706,0.65902,286905
2007-01-25 00:00:00,0.659,0.65987,0.65739,0.65768,282628
2007-01-26 00:00:00,0.65765,0.65934,0.65713,0.65905,245960
2007-01-28 00:00:00,0.6588,0.6593,0.65857,0.65871,36237
2007-01-29 00:00:00,0.65869,0.66136,0.6584,0.66014,280532
2007-01-30 00:00:00,0.66012,0.66078,0.65813,0.66024,279870
2007-01-31 00:00:00,0.66021,0.66433,0.65967,0.66359,283022
2007-02-01 00:00:00,0.66358,0.66383,0.66053,0.66168,279338
2007-02-02 00:00:00,0.6617,0.66243,0.65848,0.65908,238548
2007-02-04 00:00:00,0.65895,0.65948,0.65838,0.6586,36703
2007-02-05 00:00:00,0.6585,0.6613,0.65815,0.65902,284489
2007-02-06 00:00:00,0.659,0.65941,0.65725,0.65877,280048
2007-02-07 00:00:00,0.6587,0.66104,0.65829,0.66027,281042
2007-02-08 00:00:00,0.66023,0.66609,0.65946,0.66549,283470
2007-02-09 00:00:00,0.66544,0.66823,0.66508,0.66706,253508
2007-02-11 00:00:00,0.66647,0.66726,0.66565,0.66666,51386
2007-02-12 00:00:00,0.66657,0.6674,0.66475,0.66492,299835
2007-02-13 00:00:00,0.6649,0.67025,0.66454,0.66942,276359
2007-02-14 00:00:00,0.66939,0.67162,0.66834,0.66893,286888
2007-02-15 00:00:00,0.66905,0.67348,0.66781,0.67253,280771
2007-02-16 00:00:00,0.67251,0.67385,0.67198,0.67355,247262
2007-02-18 00:00:00,0.67343,0.67363,0.6725,0.67252,35566
2007-02-19 00:00:00,0.67245,0.67558,0.67245,0.67425,280193
2007-02-20 00:00:00,0.67425,0.67482,0.67144,0.67177,286368
2007-02-21 00:00:00,0.67173,0.67434,0.67154,0.67232,279312
2007-02-22 00:00:00,0.6723,0.67268,0.66986,0.67059,277620
2007-02-23 00:00:00,0.6706,0.67108,0.66893,0.6705,241743
2007-02-25 00:00:00,0.6703,0.67189,0.67027,0.67151,34318
2007-02-26 00:00:00,0.67152,0.67185,0.66991,0.67098,280319
2007-02-27 00:00:00,0.67095,0.6753,0.67078,0.673,281022
