Time,Open,High,Low,Close,Volume
2006-12-31 00:00:00,1.31908,1.31973,1.31872,1.31952,145690
2007-01-01 00:00:00,1.31958,1.32393,1.3165,1.32345,2000825
2007-01-02 00:00:00,1.32363,1.32951,1.32233,1.3284,2004914
2007-01-03 00:00:00,1.3283,1.32903,1.31461,1.31697,2018620
2007-01-04 00:00:00,1.31708,1.31783,1.30704,1.30725,2002830
2007-01-05 00:00:00,1.30719,1.31029,1.29804,1.29995,1773218
2007-01-07 00:00:00,1.30097,1.30141,1.29837,1.29949,240892
2007-01-08 00:00:00,1.29956,1.30466,1.29722,1.3033,2010530
2007-01-09 00:00:00,1.30331,1.30517,1.29485,1.29599,2005226
2007-01-10 00:00:00,1.29596,1.30002,1.29261,1.29542,2019046
2007-01-11 00:00:00,1.29522,1.30124,1.28747,1.28979,2006747
2007-01-12 00:00:00,1.28993,1.29418,1.28668,1.29212,1755222
2007-01-14 00:00:00,1.29219,1.29312,1.29121,1.29239,245611
2007-01-15 00:00:00,1.29249,1.2955,1.29183,1.293,1996802
2007-01-16 00:00:00,1.29303,1.29875,1.29062,1.29244,2016494
2007-01-17 00:00:00,1.29231,1.296,1.28973,1.29539,2005444
2007-01-18 00:00:00,1.29545,1.2987,1.28971,1.29803,1995139
2007-01-19 00:00:00,1.29813,1.29998,1.29129,1.29536,1764945
2007-01-21 00:00:00,1.29592,1.29737,1.29505,1.29695,240397
2007-01-22 00:00:00,1.29719,1.29769,1.29201,1.29307,1999808
2007-01-23 00:00:00,1.293,1.30423,1.29288,1.30234,2002837
2007-01-24 00:00:00,1.30254,1.30357,1.29475,1.29588,2008630
2007-01-25 00:00:00,1.29595,1.30002,1.29139,1.29218,2009753
2007-01-26 00:00:00,1.29216,1.29369,1.28807,1.29144,1758156
2007-01-28 00:00:00,1.29147,1.29246,1.28948,1.29008,242323
2007-01-29 00:00:00,1.28993,1.29679,1.28962,1.29622,2007732
2007-01-30 00:00:00,1.29646,1.298,1.29448,1.29593,1999863
2007-01-31 00:00:00,1.29594,1.3039,1.29239,1.30274,2002623
2007-02-01 00:00:00,1.30264,1.30482,1.30011,1.30181,2003970
2007-02-02 00:00:00,1.30189,1.30615,1.29474,1.29562,1767866
